Block,Measurement,FrogID,MeasurementID,BoutID,Experiment,AccTemp,AccInc,PerfTemp,PerfInc,Breaths,AvgMass(g),minTime(ms),maxTime(ms),totalTime(s),totalTime(min),BreathsPerMin,O2Measure(mLO2/mLAir)(sec),AvgFlowRate(SCCMAir/min),CorrectedFlowRate(mLAir/min),AvgAirDensity(gAir/mLair),WeightPerc(gO2/gAir),VolPerc(mLO2/mLAir),O2Consumed(mgO2),mgO2ConsPerBreath,negTotalFlow(mLAir/Min)(sec),posTotalFlow(mLAir/Min)(sec),totBreathVolSCCM(mLAir/Min)(sec),BreathVolCorrected(mLAir/Min)(sec),mLAirPerBreath
4,ZeroOne,Laevis01,B4ZeroDayPT1L01,B4ZeroDayPT1L01_4360s,B,17,2,26,7,4,32.11,4338549,4381332,42.783,0.71305,5.609704789,0.117003852,182.3051,195.146963,0.00111,0.2314,0.2095,0.466565919,0.11664148,83.1363006,81.3887706,164.5250712,176.1144805,0.733810336
4,ZeroOne,Laevis01,B4ZeroDayPT1L01,B4ZeroDayPT1L01_8340s,B,17,2,26,7,3,32.11,8307193,8392744,85.551,1.42585,2.104008135,0.031700995,182.0126,194.8338589,0.00111,0.2314,0.2095,0.126208435,0.042069478,33.28773459,39.18641238,72.47414697,77.57934188,0.430996344
4,ZeroOne,Laevis01,B4ZeroDayPT1L01,B4ZeroDayPT1L01_8760s,B,17,2,26,7,5,32.11,8728157,8802494,74.337,1.23895,4.03567537,0.075787189,181.3691,194.1450297,0.00111,0.2314,0.2095,0.300658253,0.060131651,40.53145404,77.22946404,117.7609181,126.0561856,0.420187285
4,ZeroOne,Laevis06,B4ZeroDayPT1L06,B4ZeroDayPT1L06_6550s,B,8,4,17,2,5,34.465,6532928,6569189,36.261,0.60435,8.273351535,0.041655938,203.4323,217.7623968,0.00111,0.2314,0.2095,0.185357797,0.037071559,34.23875497,49.41303206,83.65178703,89.5443528,0.298481176
4,ZeroOne,Laevis06,B4ZeroDayPT1L06,B4ZeroDayPT1L06_7900s,B,8,4,17,2,17,34.465,7857430,7938579,81.149,1.352483333,12.56947097,0.054426235,203.5521,217.8906357,0.00111,0.2314,0.2095,0.242324828,0.014254402,147.8272707,119.9640038,267.7912745,286.6549205,0.281034236
4,ZeroOne,Laevis06,B4ZeroDayPT1L06,B4ZeroDayPT1L06_8800s,B,8,4,17,2,11,34.465,8775565,8903912,128.347,2.139116667,5.14230952,0.019766372,203.3799,217.7063057,0.00111,0.2314,0.2095,0.087932423,0.007993857,168.3930473,125.1660754,293.5591227,314.2378972,0.476118026
4,ZeroOne,Laevis08,B4ZeroDayPT1L08,B4ZeroDayPT1L08_2300s,B,26,3,17,8,13,34.4,2244829,2405156,160.327,2.672116667,4.86505704,0.098464862,181.4274,194.2074364,0.00111,0.2314,0.2095,0.39074928,0.030057637,141.3043162,110.5387779,251.8430941,269.5833246,0.345619647
4,ZeroOne,Laevis08,B4ZeroDayPT1L08,B4ZeroDayPT1L08_2700s,B,26,3,17,8,5,34.4,2679038,2711063,32.025,0.53375,9.367681499,0.066049114,182.0868,194.9132856,0.00111,0.2314,0.2095,0.263062834,0.052612567,36.73841597,60.66095093,97.3993669,104.2603342,0.347534447
4,ZeroOne,Laevis08,B4ZeroDayPT1L08,B4ZeroDayPT1L08_3260s,B,26,3,17,8,8,34.4,3240728,3281349,40.621,0.677016667,11.81654809,0.019167357,183.8237,196.7725356,0.00111,0.2314,0.2095,0.077068654,0.009633582,8.991868344,24.41972834,33.41159668,35.76516303,0.074510756
4,ZeroOne,Laevis10,B4ZeroDayPT1L10,B4ZeroDayPT1L10_4750s,B,26,5,20,6,49,44.59,4711005,4854725,143.72,2.395333333,20.45644308,0.072165466,195.8754,209.6731767,0.00111,0.2314,0.2095,0.309188514,0.00630997,927.2584006,862.6300925,1789.888493,1915.971103,0.651690851
